"","Clim01","Clim02","Clim03","Clim04","Clim05","Clim06","Clim07","Clim08","Clim09","Clim10","Clim11","Clim12","Clim13","Clim14","Clim15","Clim16","Clim17","Clim18","Clim19","dem","arachide"
"256",258,139,70,1848,341,143,198,274,244,276,230,403,151,0,151,349,1,241,3,47,114
"257",274,161,65,1823,390,146,244,278,272,294,246,557,190,0,142,471,0,38,2,36,163
"258",275,159,64,2006,395,148,247,278,274,298,244,474,156,0,140,396,0,32,3,37,100
"259",263,147,70,1608,352,144,208,275,243,279,238,530,207,0,153,466,1,329,1,22,63
"260",272,158,65,1952,388,145,243,277,269,293,241,467,162,0,145,396,0,32,1,50,125
"261",267,155,66,1860,376,143,233,275,261,286,237,464,166,0,147,400,0,128,2,49,50
"262",280,156,60,2654,402,144,258,292,271,309,239,353,117,0,140,297,1,97,3,52,400
"263",265,151,69,1645,359,143,216,276,256,280,239,543,211,0,153,478,0,127,1,21,1000
"264",276,160,66,1843,389,148,241,284,272,295,248,551,192,0,147,472,0,152,2,27,240
"265",273,161,66,1824,389,146,243,278,271,293,245,554,190,0,142,469,0,38,2,36,467
"266",274,161,66,1864,388,146,242,281,270,293,245,545,192,0,145,466,0,153,2,31,1500
"267",271,158,67,1811,378,145,233,281,265,290,243,556,206,0,149,482,0,138,2,33,50
"268",262,146,70,1611,350,144,206,275,243,278,237,527,206,0,156,464,1,327,1,23,188
"269",281,157,63,2173,400,154,246,288,294,304,248,415,138,0,141,347,1,26,4,34,57
"270",258,136,69,1924,341,144,197,276,252,277,230,357,132,0,153,311,0,208,3,37,120
"271",274,161,66,1844,388,147,241,281,269,293,245,540,192,0,144,463,0,149,2,30,67
"272",276,159,66,1777,388,149,239,283,272,294,248,559,192,0,145,478,0,157,2,21,300
"273",270,129,68,1241,353,164,189,277,266,280,250,758,277,0,145,646,0,217,2,5,400
"274",275,159,67,1848,385,148,237,285,269,294,247,553,201,0,147,477,0,143,2,19,300
"275",276,159,66,1826,387,148,239,283,271,294,247,560,198,0,147,481,0,151,2,17,308
"276",263,146,69,1661,352,143,209,275,242,278,237,517,199,0,152,454,1,318,1,39,300
"277",266,155,69,1699,366,142,224,277,258,283,239,547,208,0,152,478,0,130,2,26,200
"278",269,158,66,1874,380,144,236,277,264,289,240,501,182,0,148,433,0,137,2,37,211
"279",268,155,68,1716,370,143,227,278,261,285,241,560,212,0,152,489,0,136,2,19,267
"280",286,157,61,2369,409,154,255,291,283,313,250,432,142,0,137,360,1,28,2,20,300
"281",267,153,67,1785,370,144,226,277,259,285,238,494,180,0,147,428,0,125,2,43,350
"282",272,159,66,1885,384,146,238,281,267,292,243,519,189,0,146,448,0,141,2,19,300
"283",263,145,70,1683,351,144,207,275,252,279,237,490,184,0,153,428,0,296,2,25,467
"284",273,158,67,1814,380,146,234,283,266,291,244,557,205,0,149,482,0,140,2,23,200
"285",267,151,65,1940,374,145,229,276,259,287,236,419,149,0,147,358,1,109,3,53,100
"286",252,124,68,1853,328,147,181,271,234,272,227,364,137,0,154,322,0,287,2,50,400
"287",252,124,68,1853,328,147,181,271,234,272,227,364,137,0,154,322,0,287,2,49,100
"288",275,159,67,1848,385,148,237,285,269,294,247,553,201,0,147,477,0,143,2,19,750
"289",256,132,70,1802,334,146,188,273,240,274,230,377,142,0,153,333,0,224,2,44,500
"290",276,159,66,1777,388,149,239,283,272,294,248,559,192,0,145,478,0,157,2,20,250
"291",255,129,68,1762,334,147,187,272,240,273,230,398,148,0,152,351,0,232,2,42,100
"292",272,155,64,2067,387,147,240,279,267,294,239,413,142,0,143,351,1,26,3,34,500
